text,category,department,category_code,org_code,urgency,urgency_score
"online order not delivered, money not refunded no response despite repeated complaints",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,23
"illegal construction next door, complained repeatedly no action my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,42
tds credit not reflecting in my account i have complained repeatedly and it is still unresolved,Income Tax,Income Tax,4414,CBODT,Medium,25
"unsafe conditions at the platform, no security at night",Railway,Railway,2565,MORLY,Low,24
"school building unsafe, roof leaking, children at risk situation is unsafe and dangerous",School Education,School Education,398,DOSEL,High,46
request for information about the vaccination schedule no response despite repeated complaints,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,12
housing scheme allotment pending for 5 months please help immediately,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,30
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
rural road construction incomplete for 3 months no response despite repeated complaints,Rural Development,Rural Development,4976,DORLD,Medium,25
request for information about child care schemes,Women and Child Development,Women and Child Development,5410,DOWCD,Low,18
"fir not registered despite repeated visits, harassment there is a medical emergency",Home Affairs,Home Affairs,4742,MINHA,High,46
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"maternity benefit not received, pregnant and no support",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,42
atm did not dispense cash but my account was debited there is a medical emergency,Banking,Banking,251,DEABD,Medium,30
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,40
"money order not delivered to my elderly mother, she is waiting",Posts,Posts,61,DPOST,Low,24
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,7
"reserved seat given to someone else, harassment by staff there is a medical emergency",Railway,Railway,2565,MORLY,High,46
"money order not delivered to my elderly mother, she is waiting situation is unsafe and dangerous",Posts,Posts,61,DPOST,High,49
"no water supply in our locality for 9 days, children falling sick situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,48
"street lights not working on the highway, danger at night",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,25
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
no network coverage in my area for 14 days despite repeated complaints this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,20
tds credit not reflecting in my account,Income Tax,Income Tax,4414,CBODT,Low,16
income tax refund pending for 9 months despite filing my elderly parent is suffering,Income Tax,Income Tax,4414,CBODT,Medium,38
"unsafe conditions at the platform, no security at night i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,28
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"amount debited from my account but transaction failed, 3 months no refund senior citizen with no other support",Banking,Banking,251,DEABD,Medium,35
rural road construction incomplete for 4 months no response despite repeated complaints,Rural Development,Rural Development,4976,DORLD,Medium,25
mgnrega wages not paid for 10 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,23
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,2
"job card application pending, repeatedly visiting the office no response despite repeated complaints",Rural Development,Rural Development,4976,DORLD,Medium,25
request to update my kyc details in the account senior citizen with no other support,Banking,Banking,251,DEABD,Low,19
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"safety concern in my locality, no police response, danger",Home Affairs,Home Affairs,4742,MINHA,Medium,29
my monthly income scheme interest not credited since 5 months my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,31
